FeatureCode,Start Date ,End Date,Equity Loans,Loan category
E07000225,01 April 2013,30 September 2019,333,Total Equity Loans
E07000065,01 April 2013,30 September 2019,550,Equity Loans to First Time Buyers
E07000065,01 April 2013,30 September 2019,712,Total Equity Loans
E07000061,01 April 2013,30 September 2019,23,Equity Loans to First Time Buyers
E07000061,01 April 2013,30 September 2019,27,Total Equity Loans
E07000064,01 April 2013,30 September 2019,108,Equity Loans to First Time Buyers
E07000064,01 April 2013,30 September 2019,144,Total Equity Loans
E09000006,01 April 2013,30 September 2019,842,Equity Loans to First Time Buyers
E09000006,01 April 2013,30 September 2019,888,Total Equity Loans
E09000023,01 April 2013,30 September 2019,1070,Equity Loans to First Time Buyers
E09000023,01 April 2013,30 September 2019,1114,Total Equity Loans
E09000022,01 April 2013,30 September 2019,514,Equity Loans to First Time Buyers
E09000022,01 April 2013,30 September 2019,540,Total Equity Loans
E09000008,01 April 2013,30 September 2019,1268,Equity Loans to First Time Buyers
E09000008,01 April 2013,30 September 2019,1339,Total Equity Loans
E07000111,01 April 2013,30 September 2019,242,Equity Loans to First Time Buyers
E07000111,01 April 2013,30 September 2019,274,Total Equity Loans
E09000011,01 April 2013,30 September 2019,1276,Equity Loans to First Time Buyers
E09000011,01 April 2013,30 September 2019,1354,Total Equity Loans
E07000107,01 April 2013,30 September 2019,1612,Equity Loans to First Time Buyers
E07000107,01 April 2013,30 September 2019,1832,Total Equity Loans
E06000024,01 April 2013,30 September 2019,989,Equity Loans to First Time Buyers
E06000024,01 April 2013,30 September 2019,1185,Total Equity Loans
E07000030,01 April 2013,30 September 2019,131,Equity Loans to First Time Buyers
E07000030,01 April 2013,30 September 2019,162,Total Equity Loans
E07000026,01 April 2013,30 September 2019,271,Equity Loans to First Time Buyers
E07000026,01 April 2013,30 September 2019,349,Total Equity Loans
E07000029,01 April 2013,30 September 2019,94,Equity Loans to First Time Buyers
E07000029,01 April 2013,30 September 2019,112,Total Equity Loans
E07000008,01 April 2013,30 September 2019,274,Equity Loans to First Time Buyers
E07000008,01 April 2013,30 September 2019,315,Total Equity Loans
E07000012,01 April 2013,30 September 2019,727,Equity Loans to First Time Buyers
E07000012,01 April 2013,30 September 2019,932,Total Equity Loans
E06000031,01 April 2013,30 September 2019,1903,Equity Loans to First Time Buyers
E06000031,01 April 2013,30 September 2019,2315,Total Equity Loans
E07000077,01 April 2013,30 September 2019,439,Equity Loans to First Time Buyers
E07000077,01 April 2013,30 September 2019,652,Total Equity Loans
E07000009,01 April 2013,30 September 2019,213,Equity Loans to First Time Buyers
E07000009,01 April 2013,30 September 2019,265,Total Equity Loans
E07000011,01 April 2013,30 September 2019,808,Equity Loans to First Time Buyers
E07000011,01 April 2013,30 September 2019,1062,Total Equity Loans
E07000146,01 April 2013,30 September 2019,391,Equity Loans to First Time Buyers
E07000146,01 April 2013,30 September 2019,450,Total Equity Loans
E07000010,01 April 2013,30 September 2019,283,Equity Loans to First Time Buyers
E07000010,01 April 2013,30 September 2019,350,Total Equity Loans
E07000067,01 April 2013,30 September 2019,552,Equity Loans to First Time Buyers
E07000067,01 April 2013,30 September 2019,678,Total Equity Loans
E06000050,01 April 2013,30 September 2019,1887,Equity Loans to First Time Buyers
E06000050,01 April 2013,30 September 2019,2406,Total Equity Loans
E08000015,01 April 2013,30 September 2019,578,Equity Loans to First Time Buyers
E08000015,01 April 2013,30 September 2019,702,Total Equity Loans
E07000074,01 April 2013,30 September 2019,167,Equity Loans to First Time Buyers
E07000074,01 April 2013,30 September 2019,228,Total Equity Loans
E07000070,01 April 2013,30 September 2019,720,Equity Loans to First Time Buyers
E07000070,01 April 2013,30 September 2019,930,Total Equity Loans
E07000072,01 April 2013,30 September 2019,147,Equity Loans to First Time Buyers
E07000072,01 April 2013,30 September 2019,178,Total Equity Loans
E07000066,01 April 2013,30 September 2019,600,Equity Loans to First Time Buyers
E07000066,01 April 2013,30 September 2019,738,Total Equity Loans
E07000068,01 April 2013,30 September 2019,266,Equity Loans to First Time Buyers
E07000068,01 April 2013,30 September 2019,298,Total Equity Loans
E06000034,01 April 2013,30 September 2019,1299,Equity Loans to First Time Buyers
E06000034,01 April 2013,30 September 2019,1499,Total Equity Loans
E09000016,01 April 2013,30 September 2019,953,Equity Loans to First Time Buyers
E09000016,01 April 2013,30 September 2019,998,Total Equity Loans
E07000073,01 April 2013,30 September 2019,507,Equity Loans to First Time Buyers
E07000073,01 April 2013,30 September 2019,640,Total Equity Loans
E07000071,01 April 2013,30 September 2019,1662,Equity Loans to First Time Buyers
E07000071,01 April 2013,30 September 2019,2045,Total Equity Loans
E07000076,01 April 2013,30 September 2019,326,Equity Loans to First Time Buyers
E07000076,01 April 2013,30 September 2019,413,Total Equity Loans
E07000200,01 April 2013,30 September 2019,191,Equity Loans to First Time Buyers
E07000200,01 April 2013,30 September 2019,265,Total Equity Loans
E07000215,01 April 2013,30 September 2019,156,Equity Loans to First Time Buyers
E07000215,01 April 2013,30 September 2019,188,Total Equity Loans
E07000106,01 April 2013,30 September 2019,192,Equity Loans to First Time Buyers
E07000106,01 April 2013,30 September 2019,244,Total Equity Loans
E07000114,01 April 2013,30 September 2019,135,Equity Loans to First Time Buyers
E07000114,01 April 2013,30 September 2019,167,Total Equity Loans
E07000108,01 April 2013,30 September 2019,477,Equity Loans to First Time Buyers
E07000108,01 April 2013,30 September 2019,578,Total Equity Loans
E07000113,01 April 2013,30 September 2019,768,Equity Loans to First Time Buyers
E07000113,01 April 2013,30 September 2019,1032,Total Equity Loans
E07000105,01 April 2013,30 September 2019,692,Equity Loans to First Time Buyers
E07000105,01 April 2013,30 September 2019,896,Total Equity Loans
E08000026,01 April 2013,30 September 2019,1542,Equity Loans to First Time Buyers
E08000026,01 April 2013,30 September 2019,1773,Total Equity Loans
E07000219,01 April 2013,30 September 2019,732,Equity Loans to First Time Buyers
E07000219,01 April 2013,30 September 2019,1005,Total Equity Loans
E09000004,01 April 2013,30 September 2019,660,Equity Loans to First Time Buyers
E09000004,01 April 2013,30 September 2019,689,Total Equity Loans
E07000109,01 April 2013,30 September 2019,248,Equity Loans to First Time Buyers
E07000109,01 April 2013,30 September 2019,273,Total Equity Loans
E07000115,01 April 2013,30 September 2019,717,Equity Loans to First Time Buyers
E07000115,01 April 2013,30 September 2019,966,Total Equity Loans
E06000015,01 April 2013,30 September 2019,802,Equity Loans to First Time Buyers
E06000015,01 April 2013,30 September 2019,1000,Total Equity Loans
